event_name,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
UFC 316: Dvalishvili vs. O'Malley 2,Keith Peterson,Mario Bautista,Patchy Mix,Mario Bautista,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/df5dac45fc585fb0
UFC 316: Dvalishvili vs. O'Malley 2,Keith Peterson,Vicente Luque,Kevin Holland,Kevin Holland,3,F,Welterweight,M,Submission,Anaconda Choke On Ground,2,1:03,http://ufcstats.com/fight-details/2129acab2280bd29
UFC 316: Dvalishvili vs. O'Malley 2,Vitor Ribeiro,Bruno Silva,Joshua Van,Joshua Van,3,F,Flyweight,M,KO/TKO,Punches to Head On Ground,3,4:01,http://ufcstats.com/fight-details/b6a87389bdc36a00
UFC 316: Dvalishvili vs. O'Malley 2,Mike Beltran,Azamat Murzakanov,Brendson Ribeiro,Azamat Murzakanov,3,F,Light Heavyweight,M,KO/TKO,Punches to Head On Ground,1,3:25,http://ufcstats.com/fight-details/01100a90b584215d
UFC 316: Dvalishvili vs. O'Malley 2,Mike Beltran,Serghei Spivac,Waldo Cortes-Acosta,Waldo Cortes-Acosta,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/ac977a0389682124
UFC 316: Dvalishvili vs. O'Malley 2,Mike Beltran,Khaos Williams,Andreas Gustafsson,Andreas Gustafsson,3,F,Welterweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/f0488a4486a64af0
UFC 316: Dvalishvili vs. O'Malley 2,Gasper Oliver,Ariane da Silva,Wang Cong,Wang Cong,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/d078e9046aa86307
UFC 316: Dvalishvili vs. O'Malley 2,Keith Peterson,Jeka Saragih,JooSang Yoo,JooSang Yoo,3,F,Featherweight,M,KO/TKO,Punch to Head At Distance,1,0:28,http://ufcstats.com/fight-details/9f4a0de31375ba04
UFC 316: Dvalishvili vs. O'Malley 2,Gasper Oliver,Quillan Salkilld,Yanal Ashmouz,Quillan Salkilld,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/2e4064e0e6d4d92e
UFC 316: Dvalishvili vs. O'Malley 2,Jason Herzog,MarQuel Mederos,Mark Choinski,MarQuel Mederos,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/0e8599eca8ccfa32
UFC Fight Night: Blanchfield vs. Barber,Herb Dean,Mateusz Gamrot,Ludovit Klein,Mateusz Gamrot,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/212527d462690304
UFC Fight Night: Blanchfield vs. Barber,Chris Tognoni,Billy Ray Goff,Ramiz Brahimaj,Ramiz Brahimaj,3,F,Welterweight,M,Submission,Guillotine Choke Standing,1,3:16,http://ufcstats.com/fight-details/305d8c85b35a7d4e
UFC Fight Night: Blanchfield vs. Barber,Mike Beltran,Dustin Jacoby,Bruno Lopes,Dustin Jacoby,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:50,http://ufcstats.com/fight-details/7aaa810540132a4b
UFC Fight Night: Blanchfield vs. Barber,Mark Smith,Ketlen Vieira,Macy Chiasson,Ketlen Vieira,3,F,Women's Featherweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/106918bfbe24335d
UFC Fight Night: Blanchfield vs. Barber,Herb Dean,Zachary Reese,Dusko Todorovic,Zachary Reese,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/ad68450307a21ab1
